comment,label,rate,Unnamed: 3,clean_text
Chất lượng sản phẩm tuyệt vời.,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Vải mỏng quá.,NEG,2,,vải mỏng quá
Không đáng tiền Chất lượng sản phẩm kém Đóng gói sản phẩm kém.,NEG,1,,không đáng tiền chất_lượng sản_phẩm kém đóng_gói sản_phẩm kém
"Balo dep, giao hang nhanh, goi hang can than.",POS,5,,balo dep giao hang nhanh goi hang can than
Đặc biệt hài lòng về chất lượng áo.,POS,5,,đặc_biệt hài_lòng về chất_lượng áo
Áo đẹp cám ơn shop Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,POS,5,,áo đẹp cám_ơn shop chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh
May mắn shop vẫn đồng ý hoàn hàng.,POS,5,,may_mắn shop vẫn đồng_ý hoàn hàng
Áo đính kimsa đẹp lắm ạ.,POS,5,,áo đính kimsa đẹp lắm
"Chất lượng sản phẩm tuyệt vời, áo đẹp thun mịn 💃 sẽ ủng hộ dài dài.",POS,5,,chất_lượng sản_phẩm tuyệt_vời áo đẹp thun mịn sẽ ủng_hộ dài dài
Cứ thấy mấy bạn bảo bị rách gì đấy nhưng đến tay em quần vẫn nguyên vẹn ạ ❤.,POS,5,,cứ thấy mấy bạn bảo rách gì đấy nhưng đến tay em quần vẫn nguyên_vẹn
Đóng gói sản phẩm kém.,NEG,1,,đóng_gói sản_phẩm kém
"Có đáp bụng và chun Bầu bí mặc quần thoải mái lắm, giá như vậy mua dc quần như vậy là hời lắm.",POS,5,,có đáp_bụng và chun bầu bí_mặc quần thoải_mái lắm giá như_vậy mua dc_quần như_vậy hời lắm
4,POS,4,,4
Thơm ngọt ngào nhỏ thêm vào sả chanh thơm lắm.,POS,4,,thơm ngọt_ngào nhỏ thêm vào sả chanh_thơm lắm
Áo đẹp cực kì luôn ý.,POS,4,,áo đẹp cực_kì luôn ý
Nhân 2 cái ưng hết ca 2 caia vải dày mặc đẹp.,POS,5,,nhân 2 ưng hết ca 2 caia vải dày mặc đẹp
Vì sợ bị kiện cáo shop đã gọi trực tiếp gọi điện trao dồi và cách xử lý đổi hàng.,NEG,1,,vì sợ kiện_cáo shop đã gọi trực_tiếp gọi điện trao_dồi và cách xử_lý đổi hàng
"giao hàng nhanh,.",POS,5,,giao hàng nhanh
"Cực kì tệ, giao sai size L mà giao XL, lộn logo mặc dù chat kĩ càng rồi, mọi người không nên mua, shop làm ăn rất tệ Chất lượng sản phẩm rất kém, đổi trả thì lại mất tiền gửi nên mình k cần.",NEG,1,,cưc ki_tê giao sai size l ma giao xl lôn logo măc du_chat ki cang rôi moi_ngươi không nên mua shop_lam ăn rât_tê chất_lượng sản_phẩm rất kém đôi tra thi_lai mât tiên_gưi nên minh_k cân
K bị lỗi là ok rồi.,NEU,3,,k lỗi ok rồi
"Mác không như ảnh shop đăng.Dặn qua tin nhắn shopee là gửi 3c màu hồng nhưng lại gửi 2c xám xịt đường chỉ may xấu tệ chất bèo nhèo giặt 1 lần là xù nát.Tốt nhất không nên mua loại áo này,đã mua hàng shop 1 lần ưng ý,lần này thì thất vọng luôn, quá tệ.",NEG,1,,mác không như ảnh shop đăngdặn qua tin nhắn_shopee gửi 3 c màu hồng nhưng lại gửi 2 c xám_xịt đường chỉ may xấu tệ_chất bèo nhèo giặt 1 lần xù náttốt nhất không nên mua loại áo_nàyđã mua hàng shop 1 lần ưng ýlần này thất_vọng luôn quá tệ
Áo mặc cực mê luôn ý ạ Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt.,POS,5,,áo mặc cực_mê luôn ý_ạ chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền shop phục_vụ rất tốt
Áo crt bị lỗi :((.,NEG,1,,áo crt lỗi
Váy đẹp nhưng phần lót trong mỏng nên dễ thấy quần trong.,NEU,3,,váy đẹp nhưng phần_lót trong mỏng nên dễ thấy quần trong
Dóng gói đẹp giao hàng nhanh nhưng áo hơi rộng.,POS,4,,dóng gói đẹp giao hàng nhanh nhưng áo_hơi rộng
Nhưng áo đẹp nên vẫm cho shop 5*.,POS,5,,nhưng áo đẹp nên vẫm cho shop 5
Đc tặng đoi vớ nữa chứ hjhj Chất lượng sản phẩm tuyệt vời.,POS,5,,đc tặng đoi_vớ nữa chứ hjhj chất_lượng sản_phẩm tuyệt_vời
Tiền nào của đấy k sai các chế ah!,NEG,1,,tiền nào đấy k sai các chế ah
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
Giá ok.,POS,5,,giá ok
"Chủ shop cũng dễ thương nữa, đóng gói sản phẩm thì đẹp và chắc khỏi chê.",POS,5,,chủ shop cũng dễ_thương nữa đóng_gói sản_phẩm đẹp và chắc khỏi chê
Mua đi ko phải lo đẹp vl.,POS,5,,mua đi_ko phải lo đẹp vl
Áo rất xinh.,POS,4,,áo rất xinh
"Giống như trong hình ảnh, thật sự không sai xót chút nào.",POS,5,,giống như trong hình_ảnh thật_sự không sai_xót chút nào
"Shop phục vụ rất tốt, bạn chủ nhiệt tình cute lắm.",POS,5,,shop phục_vụ rất tốt bạn chủ nhiệt_tình cute lắm
Áo thì dạy lắm luôn.,POS,5,,áo dạy lắm luôn
Mà ko rộng lắm.,NEU,3,,ko rộng lắm
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
"Áo đẹp lắm nha shop,cô chủ rất nhiệt tình.",POS,5,,áo đẹp lắm nha shopcô chủ rất nhiệt_tình
Da mua nhieu lan rat hai long.,POS,5,,da mua nhieu lan rat hai long
Giá 125k vầy là hợp lý.,POS,5,,giá 125 k_vầy hợp_lý
"Quần quá đẹp, đúng như quảng cáo, còn có kèm quà tặng, shop làm ăn uy tín, sẽ còn ủng hộ ....tuyệt vời.",POS,5,,quần quá đẹp đúng như quảng_cáo còn có kèm quà tặng shop làm_ăn uy_tín sẽ còn ủng_hộ tuyệt_vời
Giao hàng rất nhanh cảm ơn shop.,POS,5,,giao hàng rất nhanh cảm_ơn shop
Vải đẹp nhưng mau giãn mất from.,NEU,3,,vải đẹp nhưng mau giãn mất from
Áo đẹp mỗi tội fom hơi rộng phải đi sửa lại nếu là nam chắc là vừa.,POS,4,,áo đẹp mỗi tội fom_hơi rộng phải đi sửa lại nếu nam chắc vừa
Tiếc rằng lần này chỉ đặt 1 áo Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,POS,5,,tiếc rằng lần này chỉ đặt 1 áo chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời
Áo mặc lên đẹp lắm sh nhé.ưng lắm mà lại hết sz để đặt thêm.,POS,4,,áo mặc lên đẹp lắm sh nhéưng lắm mà_lại hết sz để đặt thêm
Đóng gói kĩ phấn về nhìn thích lắm nói chung shop giao hàng kĩ,POS,4,,đóng_gói kĩ_phấn về nhìn thích lắm nói_chung shop giao hàng kĩ
Chất lượng sản phẩm tuyệt vời .Rất đáng tiền.,POS,5,,chất_lượng sản_phẩm tuyệt_vời rất đáng tiền
Áo thì gkê cực kỳ.,NEG,1,,áo gkê cực_kỳ
Chắc chắn sẽ tiếp tục ủng hộ shop.,POS,5,,chắc_chắn sẽ tiếp_tục ủng_hộ shop
"Thời gian giao hàng rất nhanh, vải êm.",POS,5,,thời_gian giao hàng rất nhanh vải êm
Áo đẹp lắm ạ ❤️.,POS,4,,áo đẹp lắm
"Vải mỏng như quần sịp, bị bẩn.",NEG,1,,vải mỏng như quần_sịp bẩn
Chỉ online để duyệt đơn hàng thôi thì phải.,NEG,1,,chỉ online để duyệt đơn hàng thôi phải
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất đáng tiền đóng_gói sản_phẩm rất đẹp và chắc_chắn
Áo hơi nhỏ.,NEG,2,,áo hơi nhỏ
Lên form đúng như hình.,POS,5,,lên form đúng như hình
Áo hơi ngắn so với mình.,NEG,2,,áo hơi ngắn so với mình
"Ngoài việc giao sai màu, còn đâu là ok.",POS,4,,ngoài giao sai màu còn đâu ok
"áo chất rất ok,.",POS,5,,áo chất rất ok
Vải đẹp co giãn.,POS,5,,vải đẹp co_giãn
Cám ơn shop nhiều.,POS,4,,cám_ơn shop nhiều
Chất lượng OK mỗi tội giao hàng kg đúng size mình đặt.,NEU,3,,chất_lượng ok mỗi tội giao hàng kg đúng size mình đặt
Xau qua xau.,NEG,1,,xau qua xau
Mua 2 cái rồi.,POS,5,,mua 2 rồi
Rất đáng tiền.,POS,5,,rất đáng tiền
Rẻ.,POS,5,,re
Chất lượng sản phẩm tuyệt vời.,POS,4,,chất_lượng sản_phẩm tuyệt_vời
Hang khong giong y hinh khong dang tien.,NEG,1,,hang khong giong y_hinh khong dang tien
Yêu shop e sẽ ủng hộ shop dài dài😂💕.,POS,5,,yêu shop e sẽ ủng_hộ shop dài dài
Chất lượng sản phẩm tuyệt vời!,POS,5,,chất_lượng sản_phẩm tuyệt_vời
Rat hai long ve san pham va nguoi giao hang.,POS,5,,rat hai long ve_san pham va_nguoi giao hang
Chất lượng sản phẩm tạm được Đóng gói sản phẩm chắc chắn Thời gian giao hàng nhanh.,POS,4,,chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm chắc_chắn thời_gian giao hàng nhanh
Shop phục vụ rất tốt.,POS,5,,shop phục_vụ rất tốt
"Có lưu ý nhỏ là các bạn đừng giặt chung đồ màu, mặc cái này đi biển thì xinh khỏi chê.",POS,4,,có lưu_ý nhỏ các bạn đừng giặt chung đồ màu mặc này đi biển xinh khỏi chê
"Màu chuẩn nhưng chất son lỏng gây lộ vân môi, mùi hương thơm nhẹ.",NEU,3,,màu chuẩn nhưng chất son_lỏng gây lộ_vân môi mùi hương_thơm nhẹ
Áo đẹp lắm shop👍👍👍.,POS,4,,áo đẹp lắm shop
Sẽ ủng hộ nữa 👍🏻.,POS,5,,sẽ ủng_hộ nữa
áo cũng đẹp chỉ là hơi bé chút.,POS,4,,áo cũng đẹp chỉ hơi bé chút
áo đẹp. chị chủ tư vấn nhiệt tình. tạo điều kiện trong việc đổi trả hàng. nói chung là ưng cách phục vụ 5*.,POS,5,,áo đẹp chị chủ tư_vấn nhiệt_tình tạo điều_kiện trong đổi trả hàng nói_chung ưng cách phục_vụ 5
Chất lượng sản phẩm tạm được.,POS,4,,chất_lượng sản_phẩm tạm được
"Hàng đẹp, y chang hình người mẫu mặc, khác mỗi là chiều cao của mình không như mẫu :)))).",POS,4,,hàng đẹp y_chang hình người_mẫu mặc khác mỗi chiều cao mình không như mẫu
Rất hài lòng.,POS,4,,rất hài_lòng
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt thời_gian giao hàng rất nhanh
"M đặt quần 2 quần, một quần rộng như size L, chắc do đính nhầm size.",NEU,3,,m đặt quần 2 quần một quần rộng như size l chắc do đính nhầm size
Vẫn ưng như ngày đầu Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,POS,5,,vẫn ưng như ngày đầu chất_lượng sản_phẩm tuyệt_vời rất đáng tiền
Hài lòng.,POS,5,,hài_lòng
Shop phục vụ nhiệt tình.,NEU,3,,shop phục_vụ nhiệt_tình
Hàng rất đẹp.,POS,5,,hàng rất đẹp
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh
Ngoài shop chắc phải tầm 100k.,POS,5,,ngoài shop chắc phải tầm 100 k
Hơi dài nữa.,POS,5,,hơi dài nữa
Giá cả chấp nhận được.,NEU,3,,giá_cả chấp_nhận được
Sẽ ủng hộ shop lâu dài.,POS,5,,sẽ ủng_hộ shop lâu_dài
Chất ko đẹp.,NEG,1,,chất ko đẹp
"Lần này giao hàng hơi chậm, nhưng vẫn cho 5 sao vì chất lượng sản phẩm cũng như sự nhiệt tình của shop 😊.",POS,5,,lần này giao hàng hơi chậm nhưng vẫn cho 5 sao vì chất_lượng sản_phẩm cũng như sự nhiệt_tình shop
Sét chip chất lượng tuyệt vời luôn.,POS,5,,sét chip chất_lượng tuyệt_vời luôn
"Hàng đẹp quá nên chả biết nói gì h , thôi cứ cho 5 sao đã , sẽ ủng hộ shop dài dài :)).",POS,5,,hàng đẹp quá nên chả biết nói gì h thôi cứ cho 5 sao đã sẽ ủng_hộ shop dài dài
Giao hàng rất nhanh.,POS,5,,giao hàng rất nhanh
"Thời gian giao hàng rất nhanh, sp đẹp.",POS,5,,thời_gian giao hàng rất nhanh sp đẹp
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn
"Vải cotton chắc có pha xíu nhỉ nhưng thấy khá thoáng, in cũng ổn, mình giặt máy tầm 10 lần hơn quay mòng mòng cũng không thấy bung bét với hơi xù xù một tý ngay lần giặt đầu rồi về sau không có nữa.",POS,4,,vải cotton chắc có pha_xíu nhỉ nhưng thấy khá thoáng in cũng ổn mình giặt máy tầm 10 lần hơn quay mòng_mòng cũng không thấy bung_bét với hơi xù xù một tý ngay lần giặt đầu rồi về sau không có nữa
"Mình check thì thấy shop bán hàng chuẩn, giao hàng nhanh, đóng gói sản phẩm đẹp.",POS,5,,mình check thấy shop bán hàng chuẩn giao hàng nhanh đóng_gói sản_phẩm đẹp
Vãi ok.,POS,5,,vãi ok
chất vải dày và nóng.,NEG,1,,chất vải dày và nóng
Váy mát nhưng mỏng.,NEU,3,,váy mát nhưng mỏng
Vải dày đẹp.,POS,5,,vải dày đẹp
Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn
Rất đáng tiền.,POS,5,,rất đáng tiền
San pham tot da dep Chất lượng sản phẩm tuyệt vời.,POS,5,,san pham tot da_dep chất_lượng sản_phẩm tuyệt_vời
Túi giống như hình.,POS,4,,túi giống như hình
"Giống y hình, giao hàng nhanh.",POS,5,,giống y_hình giao hàng nhanh
Excellent product quality Excellent product quality.,POS,5,,excellent product quality excellent product quality
"Hàng đẹp, vải cũng đẹp.",POS,5,,hàng đẹp vải cũng đẹp
Hơi tệ hơn chiếc kia nha !,NEG,1,,hơi tệ hơn chiếc kia nha
"Dù đã nhắn tin SHop, để lại ghi chú và chọn sản phẩm trên ap , SHop vẫn giao sai màu.",NEG,1,,dù đã nhắn_tin shop để lại ghi_chú và chọn sản_phẩm trên ap shop vẫn giao sai màu
shop nhiệt tình.,POS,4,,shop nhiệt_tình
Quá ưng cho cái thái độ và chất lượng 👍.,POS,5,,quá ưng cho thái_độ và chất_lượng
"Áo chất mát, dáng hơi dài.",POS,4,,áo chất mát_dáng hơi dài
"Hàng giao ko đúng màu, chất lượng sp được, nhân viên giao hàng rất khó chịu.",NEG,2,,hàng giao ko đúng màu chất_lượng sp được nhân_viên giao hàng rất khó_chịu
Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được.,NEU,3,,chất_lượng sản_phẩm tạm được chất_lượng sản_phẩm tạm được chất_lượng sản_phẩm tạm được
Chất lượng sản phẩm tạm được Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.,POS,4,,chất_lượng sản_phẩm tạm được đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh
Sẽ tiếp tục ủng hộ shop 😘😘😘.,POS,5,,sẽ tiếp_tục ủng_hộ shop
Giao San pham bi rach Rất không đáng tiền.,NEG,1,,giao san pham bi_rach rất không đáng tiền
ao len ôm dáng mà mịn lắm. mặc nhẹ như không.,POS,5,,ao len ôm_dáng mịn lắm mặc nhẹ như không
Nói chung bụng béo thì dùng rất ok và thoải mái.,POS,4,,nói_chung bụng béo dùng rất ok và thoải_mái
Giao nhanh.,POS,4,,giao nhanh
Hang k đẹp k mjn.,NEG,1,,hang k đep k mjn
Nói chung ce hoàn toàn có thể yên tâm mua hàng ở shop nhé!,POS,5,,nói_chung ce hoàn_toàn có_thể yên_tâm mua hàng ở shop
Hàg y hìh !,POS,5,,hàg y_hìh
Đúng mẫu mình chọn !,POS,4,,đúng mẫu mình chọn
Áo dày đẹp lắm nha.,POS,4,,áo dày đẹp lắm nha
"Đồ rất đẹp, chất vải và cả form áo.",POS,5,,đồ rất đẹp chất vải và cả form áo
Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,POS,5,,rất đáng tiền thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh
Nhận hàng xong chán luôn.,NEG,1,,nhận hàng xong chán luôn
"Thời gian giao hàng rất nhanh,.",POS,4,,thời_gian giao hàng rất nhanh
Áo dài tới tận gối không giống hình như váy luôn ý ship 1 trả tiền 2.,NEG,1,,ao dai_tơi tân_gôi không giông hinh như vay luôn y_ship 1 tra_tiên 2
chất liệu không đẹp lắm.,NEG,2,,chất_liệu không đẹp lắm
Nói thì nhiều vậy thôi chứ khá ưng ý!,NEU,3,,nói nhiều vậy thôi chứ khá ưng_ý
Rất người và y như hình ảnh của sản phẩm.,POS,5,,rất người và y_như hình_ảnh sản_phẩm
"Áo vải mỏng, đường may ko đẹp, cổ tim bị lệch.",NEG,1,,áo vải mỏng đường may ko đẹp cổ tim lệch
"Huh dùng thích dã man mực ra đều , lì ncl 10/10.",POS,5,,huh dùng thích dã_man mực ra đều lì_ncl 1010
"Sim dùng rất ok, đây là cái thứ 2 mua về.",POS,5,,sim dùng rất ok đây thứ 2 mua về
Quần đẹp quá nên ủng hộ thêm lần nữa.,POS,5,,quần đẹp quá nên ủng_hộ thêm lần nữa
"Chất lượng sản phẩm rất ổn, đóng gói đẹp.",POS,5,,chất_lượng sản_phẩm rất ổn đóng_gói đẹp
Chắc chắn sửa xong sẽ dùng đĩa.,NEG,1,,chắc_chắn sửa xong sẽ dùng đĩa
Giao hàng nhanh.,POS,5,,giao hàng nhanh
Shop phục vụ rất tốt. 😉😉😉.,POS,5,,shop phục_vụ rất tốt
Cám ơn shop nhiều!,POS,5,,cám_ơn shop nhiều
"Chất lượng sản phẩm rất kém, quần ngắn hơn so với thực tế, vải cứng, ống to, đường may ẩu, Nchung k nên mua, phí tiền 😫.",NEG,1,,chất_lượng sản_phẩm rất kém quần_ngắn hơn so với thực_tế vải cứng ống to đường may ẩu nchung k nên mua phí tiền
Mặc dù mua về để sửa win nhưng mà còn lỗi bên cạnh là máy bị hư pin rồi nên phải mua pin mới cài được.,NEG,1,,mặc_dù mua về để sửa win nhưng_mà_còn lỗi bên cạnh máy hư pin rồi nên phải mua pin mới cài được
"Chất đẹp, ấm, mặc thik lắm.",POS,5,,chất đẹp ấm mặc thik lắm
Bộ ngủ không giống trong hình.,NEG,1,,bộ ngủ không giống trong hình
"Giao hàng thiếu, đang đợi shop trả hàng.",NEG,1,,giao hàng thiếu đang đợi shop trả hàng
Hok giống như hình một chút nào:).,NEG,2,,hok giống như hình một_chút nào
"Loại quần viền thể thao size hơi nhỏ hơn so với bảng tư vấn size , các mẹ bỉm nên tăng thêm 1 size khi đặt hàng.",NEG,2,,loại quần_viền thể_thao size hơi nhỏ hơn so với bảng tư_vấn size các mẹ bỉm nên tăng thêm 1 size khi đặt_hàng
Hàng giống hình.,POS,4,,hàng giống hình
sp ok.,POS,4,,sp ok
"Đóng gói sản phẩm rất đẹp và chắc chắn, đẹp như trong hình.",POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn đẹp như trong hình
Cảm ơn shop đã giao hàng đúng như e đã yêu cầu hàng rất đẹp giao hàng nhanh trên dự kién mk sẽ tiêp tục mua bé Bông 1m5 mk mong hàng sẽ đẹp và chất lượng như này..,POS,5,,cảm_ơn shop đã giao hàng đúng như e đã yêu_cầu hàng rất đẹp giao hàng nhanh trên dự_kién mk sẽ tiêp_tục mua bé bông 1 m5 mk mong hàng sẽ đẹp và chất_lượng như này
Ảnh đẹp đóng gói hàng cẩn thận .❤️❤️❤️❤️❤️❤️.,POS,5,,ảnh đẹp đóng_gói hàng cẩn_thận
"Đóng gói sản phẩm rất đẹp và chắc chắn, sản phẩm rất dễ thương, Shop phục vụ rất tốt.",POS,5,,đóng_gói sản_phẩm rất đẹp và chắc_chắn sản_phẩm rất dễ_thương shop phục_vụ rất tốt
màu đỏ chói quá :(.,NEG,2,,màu đỏ chói quá
Tay sờ chất rất thích.,POS,5,,tay sờ_chất rất thích
"Lưu ý cho những ai muốn đặt màu trắng (như mình) là màu này nó hơi nhạy cảm một chút, ra sáng thì sẽ bị lộ nội y nên cần lựa áo trong cẩn thận hoặc dùng làm áo lót mặc ở giữa thì phù hợp hơn :))).",NEU,3,,lưu_ý cho những_ai muốn đặt màu trắng như mình màu này nó hơi nhạy_cảm một_chút ra sáng sẽ lộ nội_y nên cần lựa áo trong cẩn_thận hoặc dùng làm áo_lót mặc ở giữa phù_hợp hơn
Rất đáng tiền Shop phục vụ rất tốt.,POS,5,,rất đáng tiền shop phục_vụ rất tốt
"Áo rẻ và đẹp, áo màu xám hơi cứng hơn so với các áo khác.",POS,4,,áo rẻ và đẹp áo màu xám hơi cứng hơn so với các áo khác
Đóng gói cẩn thận chắc chắn tỉ mỉ !,POS,4,,đóng_gói cẩn_thận chắc_chắn tỉ_mỉ
Áo này đẹp lắm.,POS,4,,áo này đẹp lắm
Áo mạc form đẹp.,POS,4,,áo_mạc form đẹp
M.ng ủng hộ shop đi nhé.,POS,4,,mng ủng_hộ shop đi
"Sản phẩm đẹp, mặc ôm.",POS,5,,sản_phẩm đẹp mặc ôm
Chủ shop nhiệt tình.,POS,5,,chủ shop nhiệt_tình
"3: chất vải dày dặn, co dãn vừa phải.",POS,5,,3 chất vải dày_dặn co_dãn vừa_phải
Phom áo rộng.,NEU,3,,phom áo rộng
"Sho tư vấn rất nhiệt tình nhận được hàng rất ưng , chất vải đẹp , đường may chắc chắn ko chê vào đâu được.",POS,5,,sho tư_vấn rất nhiệt_tình nhận được hàng rất ưng chất vải đẹp đường may chắc_chắn ko_chê vào đâu được
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,POS,5,,chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh
"Y hình, vải hơi mỏng hơn so vs tưởng tượng của mình.",POS,4,,y_hình vải hơi mỏng hơn so vs tưởng_tượng mình
Mình rất thích.,POS,5,,mình rất thích
"Thật sự mình theo dõi shop khá lâu rồi,nhưng chưa lần nào dám mua do giá quá rẻ.",POS,5,,thật_sự mình theo_dõi shop khá lâu_rồinhưng chưa lần nào dám mua do giá quá rẻ
"Đóng gói sơ xài, ko cẩn thận, thùng bị rách tùm lum, bị bể mất 2 bịch, pha hạt é hơi nhiều 😥😥.",NEG,1,,đóng_gói sơ_xài ko cẩn_thận thùng rách tùm_lum bể mất 2 bịch pha hạt é hơi nhiều
Chất vải không được đẹp...,NEG,1,,chất vải không được đẹp
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn.,POS,5,,shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp và chắc_chắn
Form hơi to nên các mẹ cân nhắc chọn size bé hơn bth nhé.,NEU,3,,form hơi to nên các mẹ cân_nhắc chọn size bé hơn bth
Rất thích.,POS,5,,rất thích
Mỗi cái e mặc hơi rộng kích.,NEG,2,,mỗi e mặc hơi rộng_kích
Sản phẩm phù hợp với giá tiền.,POS,5,,sản_phẩm phù_hợp với giá tiền
Shop cho xem hàng trước khi nhận như lời hứa.,POS,5,,shop cho xem hàng trươc khi nhân như lời hứa
Đóng gói cẩn thận mà sao cũg vỡ vụn.,NEG,1,,đóng_gói cẩn_thận sao cũg vỡ vụn
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh chưa dùng nên chưa biết sp có tốt k nếu dùng tốt sẽ ủng hộ tiếp.,POS,4,,đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh chưa dùng nên chưa biết sp có tốt k nếu dùng tốt sẽ ủng_hộ tiếp
Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,POS,5,,thời_gian giao hàng rất nhanh rất đáng tiền rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời
Chúa gét màu hồng nên k ưng xí nao.,NEG,1,,chúa gét màu hồng nên k ưng_xí nao
"Hàng xinh, size 35 hơi to hơn Bth mang cứ như size 36 í :< cơ mà K sao giao hàng siu nhanh, hãy đặt hàng của Shop nha có khi đc free ship nữa :))).",POS,4,,hàng xinh_size 35 hơi to hơn bth mang cứ như size 36 í_cơ k sao giao hàng siu nhanh hãy đặt_hàng shop_nha có_khi đc free ship nữa
"Sản phẩm đẹp, giao hàng đúng giờ =)) Đáng đồng tiền Đóng gói sản phẩm chắc chắn.",POS,5,,sản_phẩm đẹp giao hàng đúng giờ đáng đồng_tiền đóng_gói sản_phẩm chắc_chắn
"Tất dai, đều màu Chất lượng sản phẩm tuyệt vời.",POS,5,,tất_dai đều màu chất_lượng sản_phẩm tuyệt_vời
Chung quy rất đáng tiền.,POS,4,,chung quy rất đáng tiền
Thời gian giao hàng rất nhanh Rất đáng tiền.,POS,5,,thời_gian giao hàng rất nhanh rất đáng tiền
Lần đầu dùng son của Maybeline và rất ấn tượng.,POS,5,,lần đầu dùng son maybeline và rất ấn_tượng
"Chất lượng sản phẩm tuyệt vời, shop còn tặng quà dễ thương lắm luôn ý ❤️ lần sau sẽ ủng hộ nữa ^^.",POS,5,,chất_lượng sản_phẩm tuyệt_vời shop còn tặng quà dễ_thương lắm luôn ý lần sau sẽ ủng_hộ nữa
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.chất dày dặn.,POS,5,,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc chắnchất dày dặn
